Lap,LapTime,DRS,Fuel,Compound,FLWear,FRWear,RLWear,RRWear,StringLapTime
1,83598,1,28.014105,Hard,2.48901,1.895564,1.726651,1.490673,01:23.598
2,83153,1,26.45944,Hard,3.711916,2.830425,2.565792,2.219106,01:23.153
3,82051,1,24.900349,Hard,4.972464,3.797597,3.392121,2.942634,01:22.051
4,82454,1,23.344336,Hard,6.377407,4.850576,4.31395,3.751591,01:22.454
5,82087,1,21.781887,Hard,7.67985,5.810404,5.177635,4.517781,01:22.087
6,81957,1,20.235802,Hard,8.80475,6.670903,6.079748,5.284276,01:21.957
7,82090,1,18.684223,Hard,9.925045,7.572419,6.935398,6.071598,01:22.090
8,82078,0,17.122915,Hard,11.016738,8.45822,7.792089,6.846157,01:22.078
9,81694,1,15.543464,Hard,12.153178,9.32867,8.69883,7.64436,01:21.694
10,81919,1,13.980046,Hard,13.125701,10.140005,9.537198,8.395984,01:21.919
1,81224,1,27.974104,Medium,2.80657,2.23518,2.400512,2.175225,01:21.224
2,80884,1,26.391302,Medium,4.258538,3.368854,3.672036,3.311386,01:20.884
3,80674,1,24.818546,Medium,5.886008,4.61941,4.982251,4.47421,01:20.674
4,80334,1,23.224682,Medium,7.374562,5.784291,6.30323,5.642334,01:20.334
5,80008,1,21.624977,Medium,8.908031,6.982298,7.593054,6.789559,01:20.008
6,80353,1,20.033739,Medium,10.63892,8.251417,8.902077,7.920114,01:20.353
1,79899,1,27.875675,Soft,3.942187,3.058509,3.505875,3.131619,01:19.899
2,79929,1,26.296892,Soft,6.025461,4.699546,5.362889,4.739096,01:19.929
3,80303,1,24.69998,Soft,8.335963,6.42325,7.217856,6.46423,01:20.303
4,80222,1,23.103386,Soft,10.540289,8.056653,9.172554,8.124278,01:20.222
5,80073,1,21.514561,Soft,12.741741,9.759346,10.999056,9.760155,01:20.073
6,79912,1,19.919989,Soft,14.956728,11.622546,12.935202,11.543716,01:19.912
7,80066,1,18.344162,Soft,17.16713,13.354956,14.744406,13.140633,01:20.066
8,79825,1,16.782753,Soft,19.236042,14.968274,16.51502,14.690506,01:19.825
9,79781,1,15.18903,Soft,21.469671,16.708256,18.372746,16.355827,01:19.781
10,80436,1,13.595619,Soft,23.767784,18.455587,20.274612,18.008224,01:20.436
11,80062,1,12.028108,Soft,26.266062,20.3682,22.111263,19.636736,01:20.062
1,80347,0,27.841602,Soft,3.926194,3.11192,3.466983,3.181959,01:20.347
2,80294,0,26.229357,Soft,5.880037,4.648336,5.297826,4.802021,01:20.294
3,80448,0,24.62969,Soft,8.079108,6.388504,7.233472,6.527143,01:20.448
4,80311,0,23.038929,Soft,10.190967,8.05436,9.062558,8.128995,01:20.311
1,89609,0,28.076178,Inter,1.068083,0.860675,0.88758,0.789975,01:29.609
2,89122,0,26.579575,Inter,1.661751,1.345894,1.327686,1.187317,01:29.122
3,88693,0,25.076273,Inter,2.221168,1.796504,1.745963,1.561683,01:28.693
4,89122,0,23.558189,Inter,2.841364,2.263805,2.197952,1.962613,01:29.122
5,88909,0,22.033852,Inter,3.519807,2.812396,2.637704,2.357311,01:28.909
6,88396,0,20.516148,Inter,4.069925,3.281366,3.057852,2.737605,01:28.396
1,91698,0,28.168732,Wet,1.117402,0.914538,0.819075,0.751675,01:31.698
2,91689,0,26.683414,Wet,1.645307,1.375027,1.229925,1.121804,01:31.689
3,90871,0,25.186558,Wet,2.204475,1.854405,1.656111,1.505846,01:30.871
4,90776,0,23.694881,Wet,2.734417,2.29051,2.059906,1.866986,01:30.776
5,91219,0,22.213537,Wet,3.28549,2.745432,2.470392,2.236859,01:31.219
6,90368,0,20.73167,Wet,3.794472,3.178828,2.874763,2.599583,01:30.368
7,91073,0,19.236549,Wet,4.304938,3.618367,3.293736,2.977396,01:31.073
8,90842,0,17.767311,Wet,4.771342,4.003442,3.673628,3.319044,01:30.842
