Population,Iterations,Mutation,Crossover,EA Fitness,BF Fitness,EA Timing,BF Timing,Timer,Weather,Save Path
200,10,0.9,0.6,5955048,5302639,01:39:15.048,01:28:22.639,00:14.255,(1-Dry),2022_10_13 23_58_46
200,10,0.9,0.6,5792522,5302639,01:36:32.522,01:28:22.639,00:15.171,(1-Dry),2022_10_14 00_00_59
200,10,0.9,0.6,5876712,5302639,01:37:56.712,01:28:22.639,00:15.400,(1-Dry),2022_10_14 00_02_17
200,10,0.9,0.6,5810741,5302639,01:36:50.741,01:28:22.639,00:13.730,(1-Dry),2022_10_14 00_03_15
200,10,0.9,0.6,6077343,5302639,01:41:17.343,01:28:22.639,00:14.594,(1-Dry),2022_10_14 00_03_51
200,10,0.9,0.6,5702258,5302639,01:35:02.258,01:28:22.639,00:15.721,(1-Dry),2022_10_14 00_06_41
200,10,0.9,0.6,5982277,5302639,01:39:42.277,01:28:22.639,00:15.720,(1-Dry),2022_10_14 00_08_01
200,10,0.9,0.6,5872002,5302639,01:37:52.002,01:28:22.639,00:14.769,(1-Dry),2022_10_14 00_09_09
200,500,0.9,0.6,5311526,5302639,01:28:31.526,01:28:22.639,10:08.472,(1-Dry),2022_10_14 00_32_35
200,10,0.9,0.6,5723872,5302639,01:35:23.872,01:28:22.639,00:15.350,(1-Dry),2022_10_14 11_49_09
200,10,0.9,0.6,5861066,5302639,01:37:41.066,01:28:22.639,00:17.788,(1-Dry),2022_10_14 11_51_28
200,30,0.9,0.6,5377570,5302639,01:29:37.570,01:28:22.639,00:39.940,(1-Dry),2022_10_14 11_52_30
